instance,succeeded,vertices,links,demands,status,mlu,lowerBound,gap,cpuTime
setA-01,true,20,80,40,OPTIMAL,0.929383899821109,0.929383899821109,0,1.8820509910583496
setA-02,true,30,150,45,OPTIMAL,0.5485780439121877,0.5485780439121758,2.1649348980190553e-14,9.967262983322144
setA-03,true,50,250,20,OPTIMAL,0.9435434146341255,0.9435434146341255,0,61.30268096923828
setA-04,true,50,250,200,TIME_LIMIT,,0.4590678030303031,0,916.426509141922
setA-05,false,,,,error,,,0,0
setA-06,false,,,,error,,,0,0
setA-08,false,,,,error,,,0,0
setA-09,true,150,750,200,TIME_LIMIT,,0.5053842105263158,0,1183.7394979000092
setA-10,false,,,,error,,,0,0
setA-12,false,,,,error,,,0,0
setA-13,false,,,,error,,,0,0
setA-14,false,,,,error,,,0,0
setA-16,false,,,,error,,,0,0
setA-17,false,,,,error,,,0,0
setA-19,false,,,,error,,,0,0
